"","resp.id","unit.id","time.period","end","role","district","building","etl.instructionstatestandards","team.member","etl.learningtargets","etl.studentsassess","etl.studentsidentify","etl.feedbacktotargets","etl.studenttostudentfeedback","etl.studentsstatecriteria","cfa.usecfa","cfa.allincfa","etl.cfa.studentreviewscfa","cfa.cfausedtoplan","dbdm.teamreviewsdata","dbdm.teampositive","dbdm.effectiveteamingpractices","dbdm.datadeterminepractices","dbdm.visualrepresetations","lead.leadersmanage","lead.teachertoteacherfeedback","lead.leadercommitted","lead.leaderactive","pd.pdinstruction","pd.coachinginstruction","pd.pdmonitor","pd.teacherfeedbackinstruction","row.id","building.id","building.level"
"27","r_eltusxasnv3ai37","northeast randolph co. r-iv","baseline","4/13/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,5,5,5,4,4,4,4,4,4,4,8843,"northeast randolph co. r-iv_northeast elem.","elem."
"28","r_eltusxasnv3ai37","northeast randolph co. r-iv","baseline","4/13/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,5,5,5,4,4,4,4,4,4,4,8843,"northeast randolph co. r-iv_northeast elem.","mult."
"29","r_1f2r0ugtng4zbbk","northeast randolph co. r-iv","baseline","4/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,5,5,5,5,5,4,5,5,5,5,NA,NA,NA,5,5,5,4,4,4,4,5,4,3,8844,"northeast randolph co. r-iv_northeast elem.","elem."
"30","r_1f2r0ugtng4zbbk","northeast randolph co. r-iv","baseline","4/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,0,5,5,5,5,5,4,5,5,5,5,NA,NA,NA,5,5,5,4,4,4,4,5,4,3,8844,"northeast randolph co. r-iv_northeast elem.","mult."
"31","r_xykj5euxhlaaxzj","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,3,8845,"northeast randolph co. r-iv_northeast elem.","elem."
"32","r_xykj5euxhlaaxzj","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,3,8845,"northeast randolph co. r-iv_northeast elem.","mult."
"33","r_1f9bg36s6o1enbr","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,4,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,8846,"northeast randolph co. r-iv_northeast elem.","elem."
"34","r_1f9bg36s6o1enbr","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,4,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,5,4,4,4,5,8846,"northeast randolph co. r-iv_northeast elem.","mult."
"35","r_1pfh9batpapvqv0","northeast randolph co. r-iv","baseline","3/15/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8847,"northeast randolph co. r-iv_northeast elem.","elem."
"36","r_1pfh9batpapvqv0","northeast randolph co. r-iv","baseline","3/15/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8847,"northeast randolph co. r-iv_northeast elem.","mult."
"37","r_3qks3ywkku1dg36","northeast randolph co. r-iv","baseline","3/29/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,4,4,4,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,8848,"northeast randolph co. r-iv_northeast elem.","elem."
"38","r_3qks3ywkku1dg36","northeast randolph co. r-iv","baseline","3/29/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,4,4,4,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,8848,"northeast randolph co. r-iv_northeast elem.","mult."
"39","r_2z8sgirjbnya2ez","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,8849,"northeast randolph co. r-iv_northeast elem.","elem."
